// Estos son todos las Popups que contiene el juego

[GjDropDownLayer]

"Account", "Cuenta"
"Destroys player when squeezed between two objects. This is on by default but only for levels after update 2.2 for legacy reasons. Cannot be disabled for platformer levels.", "Destruye al jugador al quedar atrapado entre dos objetos. Esta activado por defecto, pero solo en niveles posteriores a la actualizacion 2.2 por razones de legado. No se puede desactivar en niveles de plataformas."
"Fix Negative Scale", "Corregir escala negativa"
"Makes negative scaled objects collide correctly. Disabled on old levels for compatibility.", "Permite que los objetos con escala negativa colisionen correctamente. Desactivado en niveles anteriores por compatibilidad."
"Dynamic Level Height", "Altura del nivel dinamico"
"Increases max level height dynamically (the same way as max length). This option is always enabled in platformer mode.", "Aumenta la altura maxima del nivel dinamicamente (igual que la longitud maxima). Esta opcion siempre esta activada en el modo plataformas."
"Fix Radius Collision", "Corregir colision de radio"
"Replaces the player hitbox with a circle (instead of a square) for interactions with circular hitboxes. This fixes some issues where collisions would not register.", "Se reemplaza el hitbox del jugador por un circulo (en lugar de un cuadrado) para las interacciones con hitboxes circulares. Esto soluciona algunos problemas donde las colisiones no se registraban."
---Page 2
"Reverse Sync", "Sincronizacion inversa"
"Slows down or speeds up the player when reversing direction using orb or pads to keep music in sync.", "Disminuye o acelera la velocidad del reproductor al invertir la direccio usando orbes o pads para mantener la musica sincronizada."
"Decrease Boost Slide", "Negar Impulso de Deslizamiento"
"Slide less after dashing or being launched by moving blocks in platformer mode.", "Deslizate menos despues de correr o ser lanzado por bloques en movimiento en el modo de plataformas."

[Selecionar Song]
"Select Custom song", "Seleccionar Canciones"
"Custom Song Selection", "Seleccion de Canciones"
"Enter song ID", "ID de la Cancion"
"No song loaded", "No hay ninguna cancion cargada"
"Song ID", "Cancion ID"

"1. Find a song on Newgrounds.com", "1. Encuentra canciones en Newgrounds.com"
"2. Save the song ID", "2. Guarda el ID de la cancion"
"3. Enter the ID in the search box", "3. Ingrese el ID en el cuadro de busqueda"
"Artists", "Artistas"
"Featured Artists", "Artistas Destacadas"
"Guidelines", "Guia de Linea"
"Support NG!", "Apoya a NG!"
"Music Changes", "Cambios en la Musica"
"Some changes have been made to how <cl>custom music</c> from <cy>Newgrounds.com</c> is handled. Tap the button for more <cg>info</c>.", "Se han realizado algunos cambios en la gestion de la <cl>musica personalizada</c> de <cy>Newgrounds.com</c>. Pulsa el boton para obtener mas <cg>informacion</c>."
"Custom Songs", "Canciones personalizadas"
"Each <cg>song</c> has a <cl>unique ID</c> that can be found on <cy>Newgrounds.com</c>. If a song has the address <cl>www.newgrounds.com/audio/listen/</c><cy>568699</c>,", "Cada <cg>cancion</c> tiene un <cl>ID unico</c> que se puede encontrar en <cy>Newgrounds.com</c>.Si una cancion tiene la direccion <cl>www.newgrounds.com/audio/listen/</c><cy>568699</c>,"
"then the song ID is <cy>568699</c>.", "entonces el ID de la cancion es <cy>568699</c>."
"Loading", "Cargando"
"Clear Guidelines", "Borrar Guia"
"<cr>Delete</c> the current <cl>guidelines</c>?", "Quieres <cr>Eliminar</c> el actual <cl>Guia de Linea</c>?"

"- Find the BPM of asong.", "- Encuentra el BPM de una cancion."
"- Tap to the beat.", "- Sigue el ritmo con los dedos."
"Practice", "Practica"

"Find Song", "Encuentra la cancion"
"Music Library is the latest version.", "La biblioteca musical esta en la ultima version."
"All NCS catalogue is <cs>copyright free</c>, allowing all content creators to <cs>monetise their content</c> on platforms like YouTube and Twitch!", "Todo el catalogo de NCS esta <cs>libre de derechos de autor</c>, lo que permite a todos los creadores de contenido <cs>monetizar su contenido</c> en plataformas como YouTube y Twitch!"
"Open Library", "Biblioteca Abierta"
"Usage Policy", "Politica de uso"
"Connect with NCS", "Conectese con NCS"

"Guideline Creator", "Creador de Lineas Guia"
"- Create guidelines for custom songs.", "- Crear pautas para canciones personalizadas."
"- Each tap will be shown as a line in the editor.", "- Cada toque se mostrara como una linea en el editor."
"- Multiple recordings will be merged into one.", "- Varias grabaciones se fusionaran en una sola."
"- Use the clear button to reset the guidelines.", "- Utilice el boton borrar para restablecer las pautas."
"- Tap on the screen to create markers.", "- Toque la pantalla para crear marcadores."
"- Tap on the stop button to finish.", "- Pulse el boton Detener para finalizar."
"Clear", "Borrar"
"Start Offset", "Desplazamiento inicial"
"Seconds", "Segundos"
"Record", "Grabar"
"Guidelines can be used to make it easier to syncronize music and gameplay. Create your own custom song guidelines using this interface. Tap on record to start recording, then tap on the screen to create markings. Press on the stop button to stop recording and save your created guidelines.", "Puedes usar guias para facilitar la sincronizacion de musica y juego. Crea tus propias guias de canciones con esta interfaz. Pulsa "Grabar" para empezar a grabar y luego pulsa la pantalla para crear marcas. Pulsa el boton de parada para detener la grabacion y guardar las guias creadas."

"Fade in", "Aparecer"
"Fade out", "Ocultar"
"Dont Reset", "No Reiniciar"
"<cl>Fade in:</c> Song starts with a fade in.", "<cl>Aparecer:</c> La cancion comienza con un fundido de entrada."
"<cy>Fade out:</c> Song fades out at the end of the level.", "<cy>Ocultar:</c> La cancion se desvanece al final del nivel."
"<cg>Offset:</c> Change the start time of the song.", "<cg>Desplazamiento:</c> Cambia la hora de inicio de la cancion."

"Downloaded Songs", "Canciones descargadas"
"BPM Finder", "Buscador de BPM"
"- Tap on the screen to the beat.", "- Toca la pantalla al ritmo de la musica."
"- Tap on the stop button to finish.", "- Pulse el boton Detener para finalizar."
"- Recording starts on first tap.", "- La grabacion comienza con el primer toque."
"Stop", "Detener"

"You need a <cg>Music Customizer</c> to change menu and practice music.", "Necesitas comprar <cg>Musicas Personalizadas</c> para cambiar el Menu y la Musica de Practicar."
"Lucky for you I have one in my <cg>shop</c>.", "Por suerte tengo uno en mi <cg>tienda</c>."
"<cl>But they are very expensive.</c>", "<cl>Pero son muy caros.</c>"
"Find me when you can <cy>afford</c> it.", "Encuentrame cuando puedas."
"I need the <cl>Mana Orbs</c><d030>.<d030>.<d030>.<d030>", "Necesito los <cl>Orbes de mana</c><d030>.<d030>.<d030>.<d030>"
"All this <cg>clicking</c> makes me want to give you the item for <cy>free</c>!", "Todos estos <cg>Clicks</c> me hacen querer darte el articulo <cy>gratis</c>!"
".<d020>.<d020>.<d020> is something I would never say.", ".<d020>.<d020>.<d020> es algo que nunca diria."
"<cl>You really are persistent, I will give you that.</c>", "Eres realmente persistente, te lo concedo."
"I am <cp>The Mechanic</c>, not <cr>Santa Claus</c>. I don't work for free.", "Soy <cp>El Mecanico</c>, no <cr>Papi Noel</c>. No trabajo gratis."

[Editor]
"<cy>Exit</c> without saving? All unsaved changes will be <cr>lost</c>!", "<cy>Salir</c> sin guardar? Se perderan todos los cambios <cr>no guardados</c>!"
"<cy>Save</c> the level?", "<cy>Guardar</c> el nivel?"

"Find GroupID", "Buscar GrupoID"
"GroupID Filter", "Filtro de ID de Grupo"
"Color Filter", "Filtro de Color"

"Editor L", "Editor L"
"Editor L2", "Editor L2"
"Z Order", "Orden Z"
"Add Group ID", "Optar GrupoID"
"Next Free", "Proximo Gratis"
"Add", "Agregar"
"Z Layer", "Capa Z"
"<cg>Add</c> assigns up to 10 groups to the selected object(s).", "<cg>Agregar</c> asigna hasta 10 grupos a los objetos seleccionados."
" <cy>P</c> sets a single object as group parent.", " <cy>P</c> establece un solo objeto como padre del grupo."
"<cl>Editor L1 and L2</c> places the object(s) on an editor layer.", "<cl>Editor L1 y L2</c> coloca el/los objeto(s) en una capa del editor."
"<cp>Z layer</c> sets the draw layer of the object(s). T layers are above, while B layers are below the player.", "La <cp>Capa Z</c> define la capa de dibujo de los objeto(s). Las capas T estan por encima del jugador, mientras que las capas B estan por debajo."
"<cr>Z order</c> sets the draw order of the object(s) within the Z layer.", "<cr>Orden Z</c> establece el orden de dibujo de los objetos dentro de la capa Z."
"<ca>CH</c> sets the channel of the object(s).", "<ca>CH</c> establece el canal del/los objeto(s)."
"<co>ORD</c> sets the order of the object(s).", "<co>ORD</c> establece el orden de los objetos."
"<cj>Extra</c> has more advanced options.", "<cj>Extra</c> tiene opciones mas avanzadas."
"<cg>Preview</c> makes touch toggled triggers preview in editor.", "<cg>Vista Previa</c> permite obtener una vista previa de los activadores tactiles en el editor."
"<cy>Playback</c> starts playback from this object.", "<cy>Reproduccion</c> inicia la reproduccion desde este objeto."
"GroupID Offset", "Desplazamiento"
"This lets you set a Group ID offset that Next Free will take into account and start from. Useful for collaborations.", "Esto permite establecer un desplazamiento de ID de Grupo que 'Proximo Gratis' tendra en cuenta y desde el que comenzara. Util para colaboraciones."
"Trace In", "Rastro"
"Default", "Por defecto"

"Object Options", "Opciones de Objeto"
"<cg>NoTouch</c> disables player collision for solid objects.", "<cg>Sin contacto</c> deshabilita la colision del jugador con objetos solidos."
"<cy>No Effects</c> disables effects for portals.", "<cy>Sin efectos</c> deshabilita los efectos de los portales."
"<cl>Passable</c> lets you jump through solid blocks.", "<cl>Pasable</c> te permite saltar a traves de bloques solidos."
"<cp>Hide</c> makes the opacity 0.", "<cp>Ocultar</c> hace que la opacidad sea 0."
"<cr>Dont BoostY and BoostX</c> let you disable player being bounced from interaction with moving objects on each axis.", "<cr>No ImpulsoY y ImpulsoX</c> te permiten deshabilitar que el jugador rebote en la interaccion con objetos en movimiento en cada eje."
"<co>IceBlock, GripSlope, NonStickX, NonStickY, ExtraSticky, and ScaleStick</c> are meant for Platformer game type.", "<co>Bloque de hielo, Pendiente de agarre, Antiadherente X, Antiadherente Y, Extra pegajoso y Palo de escala</c> estan pensados ​​para el tipo de juego de plataformas."

"Config 2", "Configuracion 2"
"Enter Channel:", "Entrar al canal:"
"<cg>Enter Channel</c> is used to set a specific enter effect.", "<cg>Enter Channel</c> se utiliza para establecer un efecto de entrada especifico."
"<cy>Material</c> is used to link with specific events.", "<cy>Material</c> se utiliza para vincularse con eventos especificos."
"<cl>ControlID</c> allows you to reference specific objects when using remapping.", "<cl>ControlID</c> le permite hacer referencia a objetos especificos al utilizar la reasignacion."

"Base Color", "Color base"
"Detail", "Detalle"
"Change if a single color object is treated as base or detail color.", "Cambiar si un objeto de un solo color se trata como color base o de detalle."
"Base HSV", "VHS Base"
"Hue:", "Matiz:"
"Saturation:", "Saturacion:"
"Brightness:", "Brillo:"
"Light BG", "Luz BG"
"Select <cg>color channel</c> to apply to the selected object(s). Edit the properties of the selected channel in the bottom right.", "Seleccione el <cg>Canal de Color</c> que desea aplicar a los objetos seleccionados. Edite las propiedades del canal seleccionado en la esquina inferior derecha."
"<cy>Next Free</c> uses the next unused color channel ID,", "<cy>Proximo Gratis</c> utiliza el siguiente ID de canal de color no utilizado,"
"which goes up to 999 maximum.", "que sube hasta 999 maximo."
"<cl>HSV</c> lets you change the hue, saturation, and brightness of the selected object(s) (and not the channel as a whole).", "<cl>HSV</c> le permite cambiar el tono, la saturacion y el brillo de los objetos seleccionados (y no del canal en su totalidad)."
"The <cp>Copy and Paste</c> buttons allow you to quickly apply to other objects.", "Los botones <cp>Copiar y Pegar</c> le permiten aplicar rapidamente a otros objetos."
"Next Free", "Proximo Gratis"
"Copy Color", "Copiar Color"
"Blending", "Mezcla"
"Player", "Jugador"
"Change the attributes of a <cg>color channel</c>. Each color channel is separated by a <cy>Color ID</c>, which goes up to 999.", "Cambia los atributos de un <cg>Canal de Color</c>. Cada canal de color esta separado por un <cy>ID de Color</c>, que puede llegar hasta 999."
"This color channel can then be set in specific objects.", "Luego, este canal de color se puede configurar en objetos especificos."
"<cl>Copy Color</c> inherits color from another channel.", "<cl>Copiar color</c> hereda el color de otro canal."
"White", "Blanco"
"Black", "Negro"
"Browse", "Navegar"

[Shop]
"You cannot <cg>afford</c> that <cl>item</c>.", "No puedes <cg>permitirte</c> ese <cl>articulo</c>."
"<cg>Collect</c> more <cl>Mana Orbs</c>.", "<cg>Recoge</c> mas <cl>orbes de mana</c>."
"You <co>do not</c> have enough <cl>Mana Orbs</c>.", "Usted <co>no tiene</c> suficientes <cl>Orbes de mana</c>."


[Advanced Options]
"Advanced Options", "Opciones Avanzadas"
"Uncompleted", "Incompleto"
"Completed", "Completado"
"Coins", "Monedas"
"No Star", "No Estrellas"
"Legendary", "Legendario"
"Featured", "Destacado"
"Mythic", "Mitico"
"Song", "Cancion"
"Epic", "Epico"
"Search Info", "Buscar Info"
"<cl>Custom Songs:</c> To only show levels using custom songs. Select <cy>Song</c> and <cy>Custom</c> but leave the textfield blank.", "<cl>Canciones Personalizadas:</c> Para mostrar solo los niveles con canciones personalizadas, seleccione <cy>Cancion</c> y <cy>Personalizado</c>, pero deje el campo de texto en blanco."

"%s Leaderboard", "%s Clasificados"
"%i Leaderboard", "%i Clasificados"

[Creador Nuevamente xd]

"Create blocks", "Crear Bloques"
"<cg>Auto-builds</c> structures with given templates.", ""
"Use <cy>Browser</c> to start and select templates.", ""
"Click <cl>Template</c> with a template made to save it.", ""
"Create structures with these blocks and click <cp>Create</c> to paste the selected template.", ""
"<cr>Reference Only</c> blocks are used as reference positions.", ""
"<co>Allow Rotation, Flip X, and Flip Y</c> allow rotating the design.", ""
"<ca>Dont Delete</c> keeps these blocks when template is pasted.", ""
"<cy>The tool is in beta and will be enhanced in future updates.</c>", ""

"Reference Only", ""
"Allow Rotation", ""
"Allow Flip X", ""
"Allow Flip Y", ""
"Ignore Corners", ""
"Use nearby as reference", ""
"Dont delete", ""
"Template", "Base"
"Browser", "Buscar"
"Create All", ""
"Paste Template", ""
"Select Type", ""
"Smart Templates", ""
"Find Template", ""
"Tap <cg>New</c> to create a <cl>Template</c>!", ""
"Template Name", ""
"<cg>Defined</c> tells you how many variations you have in the template.", ""
"Click <cy>Browse</c> to see your template's defined variations.", ""
"Use", ""
"Edit", ""
"Added to editor", ""
"Shows the <cg>auto-build designs</c> in the current template.", ""
"These will be used when the template is pasted.", ""
"Click on an <cy>empty design</c> to paste it into editor.", ""
"Click an <cl>added design</c> to change the chance of different variations.", ""
"Delete Template", ""
"Are you sure you want to <cr>delete</c> this template?", ""
"<cg>Defined</c> tells you how many variations you have in the template.", ""
"Click <cy>Browse</c> to see your template's defined variations.", ""

"Setup Object", ""
"NO Multi\nActivate", ""
"Preview", "Previa"
"Playback", ""
"Trace out", "" 

"Setup Teleport", ""
"Gravity", ""
"Flipped", ""
"Toggle", ""
"Rotate Force", ""
"Static\nForce", ""
"Redirect\nForce", ""
"Smmooth\nEase", ""
"Save\nOffset", ""
"Ignore X", ""
"Ignore Y", ""
"Instant\nCamera", ""
"Snap\nGround", ""
"Redirect\nDash", ""
"<cg>Teleports</c> to an object using <cy>Target GroupID</c>.", ""
"<cl>Smooth Ease</c> makes the camera move slower.", ""
"<cp>Static Force</c> lets you specify an exit force.", ""
"<cr>Redirect Force</c> exits based on input force.", ""
"<co>Save Offset</c> keeps the offset from entering when exiting.", ""
"<cg>Redirect Dash</c> will rotate the dash to the exit rotation in platformer mode.", ""
"Target GroupID", ""
"Color Base", ""
"Detail Color", ""

"Toggle Orb", ""
"Group ID", ""
"Activate Group", ""
"Claim Touch", ""
"Spawn\nOnly", ""
"Disables <cg>Group ID</c> if the player clicks within the hitbox.", ""
"Use <cy>Activate Group</c> to activate and spawn instead.", ""
"<cl>Claim Touch</c> disables player jump, rings, and click buffering.", ""
"<cp>Spawn Only</c> makes the group spawn and not toggle on or off.", ""

"Allow Multi", ""
"Setup", ""
"<cy>Allow Multi</c> makes it so the object can be activated several times.", ""

"Setup Checkpoint", ""
"SpawnID:", ""
"TargetPos:", ""
"Player Pos", ""
"RespawnID:", ""
"Touch\nTrigger", ""
"Spawn\nTrigger", ""
"Multi\nTrigger", ""
"<cg>Checkpoints</c> used when the game type is Platformer.", ""
"<cy>SpawnID</c> lets you spawn a group when the checkpoint is activated.", ""
"<cl>TargetPos</c> lets you set a respawn location upon death after the checkpoint. Make sure this group contains one object.", ""
"<cp>RespawnID</c> lets you spawn a group when the player respawns at this checkpoint.", ""

"Text", ""
"Insert Text", ""
"Kerning: ", ""

"Setup Force Block", ""
"Force:", ""
"Relative", ""
"Range", ""
"ForceID", ""
"<cg>Force</c> is how much force is applied upon player collision.", ""
"Blocks with the same <cy>Force ID</c> do not stack.", ""
"<cl>Relative</c> makes force direction based on angle between player and object center.", ""
"<cp>UseRange</c> lets you set a range to apply force from based on player position. Range calculation is based on block radius.", ""

"Create Particle Effect", ""
"Motion", ""
"Texture", ""
"Radius", ""
"Max\nParticles", ""
"Duration", ""
"LifeTime", ""
"Angle", ""
"Speed", ""
"PosVar X", ""
"Gravity X", ""
"AccelRad", ""
"AccelTan", ""

"StartSize", ""
"EndSize", ""
"StartSpin", ""
"EndSpin", ""
"EndSpin", ""
"Start_R", ""
"Start_G", ""
"Start_B", ""
"Start_A", ""
"End_R", ""
"End_G", ""
"End_B", ""
"End_A", ""

"Free", ""
"Grouped", ""
"Relative", ""
"FrictionP", ""
"FrictionS", ""
"FrictionR", ""
"Respawn", ""
"Additive", ""
"Start Size\n= End", ""

"Start Spin\n= End", ""
"Start Rad\n= End", ""
"Start rot\nis dir", ""
"Use\nobj color", ""
"Uniform\nobj color", ""
"Dynamic\nrotation", ""
"Animate\non Trigger", ""
"Animate\nActive Only", ""
"Order\nSensitive", ""
"StartRGB\nVar Sync", ""
"Quick\nStart", ""
"Perf\nLog", ""
"Performance Log", ""
"<cg>1: Active / Max Particles</c>", ""
"<cy>2: Draw cost.</c>", ""
"<cl>Try to keep the draw cost low.</c>", ""

"Edit Animation Settings", ""
"Randomize\nStart", ""
"Disable\ndelaye\nloop", ""
"Use\nSpeed", ""
"Disable\nanimShine", ""
"Only if\nactive", ""
"Single Frame:", ""
"Offset Anim", ""
"<cg>Disable Anim Shine</c> removes the white flash at the start of the animation for some animated objects.", ""
"<cy>Use Speed</c> lets you set a custom animation speed.", ""
"<cp>Only If Active</c> only does this if the object is active.", ""
"<cr>Single Frame</c> lets you select a specific frame of the animation.", ""
"<co>Offset Anim</c> will offset the animation the value of <cr>single frame</c>.", ""
